,Topic,Count,Name,Representation,Representative_Docsabortion
85,84,774,84_dentist_dental_teeth_dentists,"['dentist', 'dental', 'teeth', 'dentists', 'tooth', 'dentistry', 'fillings', 'drunk', 'insurance', 'wisdom']","[""you took a pretty cavalier approach kevin which i guess is understandable given you have other somewhat more pressing health issues to worry about dental treatment is definitely a matter about which we should all inform ourselves rather than simply let a white coated expert tell us what we need to spend money on five years ago i moved and had to find a new dentist the first one i visited repaired the broken tooth i visited for but then gave me an earnest talk about the desirability of replacing half my decades old amalgam fillings with crowns i found this somewhat surprising because my previous dentist of years had never suggested such a thing i got a second opinion which was that crowns would be recommended 'state of the art' but they were by no means high priority because there was nothing much wrong with my teeth the way they were five years later i don't have any crowns and the repair which the first dentist did had to be fixed two years later which i cynically suspect was a deliberate bit of shoddy work to convince me i needed crowns i also remember years ago a dentist wanted to take out all my wisdom teeth because they were 'bound to give trouble some day' i never went back to him either and my wisdom teeth have been little angels all my life flouridation of the water supply has made a huge improvement in dental health the bread and butter work of filling cavities and fitting dentures has declined dramatically unfortunately many dentists have become little more than beauticians preoccupied with tooth whitening and other cosmetic procedures including expensive use of braces to correct trivial irregularities in children's teeth keep looking for one who understands the basic principles of cost benefit analysis in medical care"", ""coach i have to say i agree with most of what you have said and in dentistry as in any other field you do get what you pay for we have patients coming to our office canada asking why an hour cleaning is costing to an hour when they used to get their cleaning for only at the other office i always respond with if you were happy there why are you thinking of changing dentist the answer my teeth don't feel clean and they only cleaned for to minutes the problem is that patients do not realize the effect the mouth has on the entire body and the importance of seeing a dentist at least every months so when ever they are told they need certain work that is pricy right away they go to saying a dentist is scamming them and for those who think that dentists charge a lot and make a lot of money i wish that one day you can see the overhead for a dental office doctor's expenses are nowhere near what a dentists expenses are monthly and no one seems to complain that a doctor's charge is for a minute check up canada and paid by the government but when it comes out of a persons pocket then dentists are scammers there are a lot of great and good and bad dentists out there and yes you should always get a second opinion even if it costs you an extra your health is worth it"", ""several years ago i dropped my dentist after beginning to wonder if their advice was based a wee bit too much on sales goals from the head office god yes this i dropped a dentist for the same reason every patient she saw seemed to have gum disease including me apparently she wanted me to have dental scaling and come in every months when she tried to sell me on some kind of blacklight treatment for early detection of oral cancer i split my new dentist finds my teeth to be just fine although the hygienists do try to sell me on teeth whitening that said i do go every months because it's included in my dental insurance""]"
86,85,742,85_rubio_marco_rubios_hes,"['rubio', 'marco', 'rubios', 'hes', 'trump', 'cruz', 'little', 'jeb', 'republican', 'immigration']","[""trump's taking care of marco rubio"", 'more rubio lies', ""rubio rubio hillary isn't half the man that rubio is""]"
87,86,740,86_straw_strawman_strawmen_straws,"['straw', 'strawman', 'strawmen', 'straws', 'man', 'grasping', 'argument', 'men', 'arguments', 'youre']","['straw man', 'that man he was full of straw', 'straw man much']"
88,87,699,87_squirrel_squirrels_cats_birds,"['squirrel', 'squirrels', 'cats', 'birds', 'feather', 'rabies', 'cat', 'bird', 'look', 'plague']","['squirrel squirrel', 'what no squirrel', 'squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel squirrel look']"
89,88,696,88_bees_gluten_bee_malaria,"['bees', 'gluten', 'bee', 'malaria', 'mosquito', 'wheat', 'mosquitoes', 'celiac', 'neonics', 'pollen']","['are they making fun of the bees', 'bees are liberal', 'probably at least two bees or not two bees']"
90,89,693,89_pattymo_patty_pattys_pattymos,"['pattymo', 'patty', 'pattys', 'pattymos', 'mo', 'pattyho', 'pattymoho', 'troll', 'shorter', 'pattytroll']","['he pattymo is a he', ""he pattymo is a 'he '"", 'he pattymo is a he']"
91,90,686,90_rudy_jefe_el_jefes,"['rudy', 'jefe', 'el', 'jefes', 'rudys', 'hes', 'like', 'president', 'shoes', 'avenatti']","[""el jefe's a c u c k"", 'el jefe', 'el jefe is both']"
92,91,683,91_mac_macgruber_macdumbfuck_macdumbfuckery,"['mac', 'macgruber', 'macdumbfuck', 'macdumbfuckery', 'macfuckwit', 'macs', 'macgrubers', 'illustrated', 'macdumbass', 'troll']","['i cry for you macgruber', 'no its not macgruber', 'who are you and what have you done with macgruber']"
93,92,650,92_perry_rick_perrys_texas,"['perry', 'rick', 'perrys', 'texas', 'governor', 'hes', 'gov', 'oops', 'mason', 'running']","[""rick perry's texas"", ""you're next rick perry"", 'is that you rick perry']"
94,93,650,93_tinyurl_com_cyk_xz,"['tinyurl', 'com', 'cyk', 'xz', 'cozaa', 'point', 'good', 'hg', 'nc', 'cnaff']","['tinyurl com cyk xz', 'tinyurl com cyk xz', 'tinyurl com cyk xz']"
95,94,649,94_ukraine_crimea_russia_ukrainian,"['ukraine', 'crimea', 'russia', 'ukrainian', 'kiev', 'ukrainians', 'russian', 'putin', 'russians', 'eastern']","[""i think you mean 'war for ukraine' not 'war with ukraine' since the latter could also be read as against"", 'and neither is ukraine', 'ukraine is next']"
96,95,637,95_spam_spammer_spamming_spammers,"['spam', 'spammer', 'spamming', 'spammers', 'flagged', 'post', 'bot', 'idiot', 'folder', 'site']","['more spam', 'spam spam spam', 'spam spam spam']"
97,96,634,96_mojo_google_feedly_linkedin,"['mojo', 'google', 'feedly', 'linkedin', 'ads', 'mojos', 'ad', 'reader', 'site', 'comments']","[""that's what i thought too but not by mojo"", 'who is mojo', ""what's mojo""]"
98,97,631,97_satire_crissa_herring_red,"['satire', 'crissa', 'herring', 'red', 'troll', 'fuck', 'herrings', 'crissas', 'satirical', 'comment']","['satire again', 'please be satire', 'is that satire']"
99,98,608,98_raven_flagged_spam_ravens,"['raven', 'flagged', 'spam', 'ravens', 'spambot', 'bugger', 'post', 'quoth', 'comment', 'think']","['well said raven', 'i think you and raven are onto something', 'raven please']"
100,99,583,99_golf_golfing_children_child,"['golf', 'golfing', 'children', 'child', 'obama', 'playing', 'play', 'trump', 'fatherhood', 'women']","['i bet he would rather play golf with obama than trump', 'wait obama was playing golf on his own time why all the criticism about him playing golf then', 'i m not going to have time to go play golf d trump']"
101,100,576,100_nsa_foia_spying_information,"['nsa', 'foia', 'spying', 'information', 'surveillance', 'nsas', 'data', 'spy', 'email', 'security']","['they did not miss anything the nsa developed it the nsa released it the nsa utilized it to the fullest and the nsa are very angry someone else found and reported it', 'fuck the nsa', ""that's not what the nsa says""]"
102,101,570,101_bannon_bannons_mcmaster_steve,"['bannon', 'bannons', 'mcmaster', 'steve', 'trump', 'ivanka', 'jared', 'trumps', 'hes', 'kelly']","['bannon who', 'bannon he is not', 'and bannon s']"
103,102,558,102_grubby_grubbie_grubbys_grub,"['grubby', 'grubbie', 'grubbys', 'grub', 'grubbies', 'grubbikins', 'little', 'grubbylette', 'hes', 'youve']","['grubby really is the best', 'it was grubby classic grubby', 'who are you and what did you do with our grubby']"
104,103,553,103_jeb_douche_douchebag_bag,"['jeb', 'douche', 'douchebag', 'bag', 'jeff', 'jeffy', 'karl', 'douchebags', 'jeffrey', 'dreyfuss']","['go jeb', 'would jeb', ""no jeb you're a douche bag""]"
105,104,548,104_tillerson_rex_tillersons_exxon,"['tillerson', 'rex', 'tillersons', 'exxon', 'moron', 'trump', 'state', 'putin', 'secretary', 'sanctions']","['i see no evidence tillerson is less than intelligent', 'trump putin says good things about you tillerson same about you', ""yeah but tillerson doesn't object to what trump says only to him saying it in public tillerson is as full of shit as his boss""]"
106,105,540,105_said_welly_clap_heh,"['said', 'welly', 'clap', 'heh', 'ouch', 'spot', 'sthed', 'attiia', 'loomy', 'lollybee']","['well said', 'well said', 'well said']"
107,106,530,106_swami_swamis_mrs_im,"['swami', 'swamis', 'mrs', 'im', 'thanks', 'hey', 'speaketh', 'know', 'good', 'reincarnated']","['a lot less than swami', 'good one swami', 'good one there swami']"
108,107,529,107_hannity_sean_hannitys_fox,"['hannity', 'sean', 'hannitys', 'fox', 'news', 'trump', 'hes', 'media', 'im', 'recording']","['who told you that hannity', 'call him call sean hannity i keep saying somebody should call sean hannity', 'is that you hannity']"
109,108,522,108_lock_em_gl_goo,"['lock', 'em', 'gl', 'goo', 'th', 'ou', 'li', 'input', 'om', 'te']","['lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up', 'lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up', 'lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up lock em up l o c k e m u p lock em up l o c k e m up']"
110,109,517,109_stoney_grift_grifters_grifter,"['stoney', 'grift', 'grifters', 'grifter', 'stoneys', 'grifting', 'stoned', 'spew', 'stone', 'clown']","['stoney is that you', 'stoney is that you', 'not for stoney']"
111,110,515,110_unicorns_unicorn_pony_ponies,"['unicorns', 'unicorn', 'pony', 'ponies', 'weasels', 'rainbows', 'lemmings', 'dog', 'weasel', 'flying']","['and unicorns we all get free unicorns', 'with unicorns', 'but what about unicorns']"
112,111,499,111_graham_lindsey_grahams_lindsay,"['graham', 'lindsey', 'grahams', 'lindsay', 'senator', 'hes', 'trump', 'lindseys', 'closet', 'sen']","['tell it to lindsey graham', 'lindsey graham is all in with trump', 'but enough about lindsey graham']"
113,112,491,112_dr_hiv_spell_com,"['dr', 'hiv', 'spell', 'com', 'gmail', 'contact', 'email', 'cure', 'caster', 'illuminati']","['hello my name is roda i want to give a testimony about my hiv virus that was cured by a great spell caster since last years now i have being a hiv aid patient i never think i live long again and am so grateful about dr lawcy who cured my hiv aids last weeks i was in a great pain so i told one of my best friends he told me that there is a great spell caster that can cure my hiv i asked her if she con give to me the contact of this great spell caster she gave me his email i emailed him he talked to me and he perform the necessary things and gave to me some herbs to take which i did and he told me that after two weeks i should go for a test which i did when the doctor told me that am now a hiv negative i couldn t believe myself i went to see another doctor the result was still the same i was human on planet earth so i emailed him and thanked him please if you are having a similar problem please visit him you can contact him on his email on drlawcyspellhome gmail com and he will also help you', 'good day everyone my name is mohammad simth from usa i have this great opportunity to shell this testimony about how i get cure for my hiv three yeas ago i was hiv positive so i was suffering from it i was doing one thing or the order to get a cure there was know way for it so i was on my research on the internet i see a testimony of a young man about how dr idelu help him get a cured for hiv with his herbal medicine i was surprise and i do not believe i said okay let me try him i contact him on his email address and he gave me intrusion and i follow it he told me what to do and i do it after a week he send me the medicine true dhl he told me how to use it and i do it after two weeks he told me that i should go for test i do it and i was hiv negative i was so happy now am happy with my wife and two kids i wan to use this opportunity to say this if you have this cane of disease called hiv i want you to contact him on is email dr idelusolutiontemple gmail com or dr idelusolutiontemple yahoomail com call him on and he can also help you get a cure for hpv herpes cancer disease or any disease with his herbal medicine all you have to do is to believe him thank you my dr may god bless you or if you want to conform from me you contact me on my email mohammadsimth gmail com', 'dear friends how can i explain this to the world again that there is a man who can cure hiv aids i was hiv over since year i have being into hiv drug i can t anymore i decide to look for help then i found this woman post write about this great man dr alimo telling people about how this man have cured he hiv i don t believe that because all i have in mind is hiv had no cure thank god for my life today am hiv negative through the power of dr alimo contacted this man for help because who write about him drop an email of the man i pick the email and emailed him for the cure this man told me what to do about the cure well am from australia this man cast a curing spell on me and he told me that he will call me after the cure is done truly he did i was cured for mins spell what a wonderful man this dr if you need his cure just email him now dr alimospherbarhom yahoomil comc thank you once again the great dr for what you have done for me if you are out there since passing through any of this problems listed below if you want your ex back if you always have bad dreams you want to be promoted in your office you want women men to run after you if you want a child you want to be rich you want to tie your husband wife to be yours forever if you need financial assistance herbal care if you want to cure your hiv if you want to cure your cancer if you want to cure any disease just contact him now with this email dr alimoherbarhome gmail com or call or whatsapp dr on thanks dr']"
114,113,490,113_drum_mr_drums_kevin,"['drum', 'mr', 'drums', 'kevin', 'blog', 'drummer', 'post', 'drumph', 'comments', 'article']","['this is why i read k drum', 'right again mr drum', 'right on mr drum']"
115,114,471,114_apple_encryption_phone_fbi,"['apple', 'encryption', 'phone', 'fbi', 'hack', 'backdoor', 'iphone', 'hacking', 'software', 'key']","[""people seem to argue from their beliefs and ideologies than look at the situation on its own this is not about apple protecting user data from fbi why because fbi can get access to the icloud backup of any iphone with a valid warrant and they have apple has chided the fbi for having changed the itunes password after the incident so the phone didn't automatically backup its contents to icloud the last one was several weeks before the incident fbi already have access to that data with a warrant there are no constitutional issues here same as getting access to a locked house with a warrant and when the key is available it is specifically about the act of building a piece of code in response to a govt request to circumvent a security feature why is this act by itself so critical an issue for apple and the other companies supporting it it is certainly not for undue burden apple is perfectly capable of creating an isolation chamber for this code and not letting that code leave that isolation after the fbi has obtained that information it is a one of as the fbi wants it and every other case has to meet the same level of burden for getting a warrant apple is making the slippery slope argument that the govt can ask for more later etc this is not a valid argument as every warrant can then be denied with a slippery slope argument what really worries apple and other digital companies is that this slippery slope argument can be made by another nation say china that apple equipment may have a govt requested backdoor for spying while this may seem silly for us note that we have done the same argument for not using huawei equipment in our telecom networks it doesn't matter if china itself doesn't really believe that but it can use that narrative to leverage against apple either to protect its own smartphone manufacturers in the future or to draw concessions for use of huawei in the us this can potentially kill apple's business right now the right course for apple is what it is doing throw up a lot of stink about backdoors which this request has nothing to do with to prevent exactly the narrative above from being used against apple later or at least not credibly while giving access to the phone data privately all this drama may even have been pre negotiated with the fbi fbi gets the data apple gets the reputation for not bowing to any govt pressure to put backdoors so no foreign country can accuse it of doing so in the future to protect their own markets or self interests"", ""does anyone else remember when the fbi said they only wanted to hack that one phone then they said they were able to hack it w o apple's help now they are demanding that apple help hacking all the phones apple was right"", ""the constitution does not have to spell out every minute detail of what search means all the court requires is that the search be relevant based upon probable cause found by the court apple is only being asked to create the means of unlocking the information from the device and software that they themselves created apple's defense amounts to let the government figure out how we did it for themselves if apple prevails then its device potentially poses a national security threat by enabling the kind of terrorist act that is connected with this phone if i were apple i'd have tried to negotiate in court a deal to comply by controlling the process of opening this and other phones for the fbi with probable cause on a case by case basis thereby apple retaining the knowledge while complying with the court order if that becomes expensive for apple that's their business risk to assume apple is asking the people to assume the risks they are helping to create it may be too late for deals apple in developing this technology has already let the genie out of the bottle on a mass scale i don't trust humans not to use encryption technology for coordinating violent and criminal purposes a clear and present danger of encryption technology held by the masses i want my government to try to protect me from the criminal use of this technology i have a right to expect that protection this is apple's gift to us all we need to know what's in that telephone that is connected with the underlying act of terrorism to help us track down those who made this attack possible if we can't do that then apple has betrayed us all""]"
116,115,470,115_nuclear_reactors_reactor_energy,"['nuclear', 'reactors', 'reactor', 'energy', 'power', 'wind', 'fuel', 'fission', 'waste', 'fusion']","['lets not write off nuclear completely there are new types of reactors that are small and can be setup to consume waste from old reactors and convert it to less toxic forms it essentially gets consumed producing energy old nuclear plants are a significant risk as is the waste that is stored at them we need some solution to the waste and using it to produce power seems like a good one i work in the environmental industry and have seen the damage from petroleum and coal first hand there are risks from nuclear but these can be managed there is excessive fear associated with nuclear', ""nuclear is not renewable not clean not safe not cheap takes years to install and is short of fuel in ten years all the fantasy reactors are years away and hopefully never the nuclear industry has been promising new reactor from the first day and they have not delivered they can't even build existing tech reactor on scheduled or budget these reactors aren't even real designs they are not complete designs and they have never been prototyped this is pure fantasy they have all the same problems of wastes times ten since the whole rector vessel has to be stored now sorry we need to stop wasting time and money on nuclear every nuclear power plant we build take money from renewables and creates a reactor that hates to throttle that will cause the curtailment of solar and wind all of the above is a formula for status quo that's how obama used it to promote fracking and nuclear we already have the energy miracle we need and it's amazing"", ""isn't uranium nuclear fuel not nuclear waste and groups like the sierra club and beyond nuclear as the latter's name suggests cannot be described as nuclear safety groups as they want no nuclear power not safe nuclear power""]"
117,116,448,116_pruitt_scott_pruitts_superfund,"['pruitt', 'scott', 'pruitts', 'superfund', 'corrupt', 'sites', 'trump', 'hes', 'security', 'oklahoma']","['if then see pruitt scott', 'and pruitt makes', 'pruitt or trump']"
118,117,447,117_snagglepuss_award_good_lol,"['snagglepuss', 'award', 'good', 'lol', 'pithy', 'lmao', 'fishbonehead', 'scavino', 'excellent', 'heavens']","['snagglepuss award', 'snagglepuss award', 'snagglepuss award']"
119,118,445,118_thank_parteeeee_kindly_ya,"['thank', 'parteeeee', 'kindly', 'ya', 'ye', 'dear', '', '', '', '']","['thank you', 'thank you', 'thank you']"
120,119,427,119_rwnj_trumpet_trumpette_rwnjs,"['rwnj', 'trumpet', 'trumpette', 'rwnjs', 'parody', 'trumpettes', 'troll', 'trumpets', 'trumpeteer', 'trumpeter']","['no we do not that is a rwnj lie', 'why are you here trumpette', 'i would say go away rwnj']"
