Topic,Count,Name,Representation,Representative_Docs
138,859,137_conspiracy_theories_theory_theorist,"['conspiracy', 'theories', 'theory', 'theorist', 'theorists', 'conspiracies', 'facts', 'evidence', 'paranoid', 'truth']","['conspiracy fact', ""it's a conspiracy"", 'not conspiracy theory conspiracy fact']"
139,818,138_tucker_carlson_jake_tapper,"['tucker', 'carlson', 'jake', 'tapper', 'lou', 'tuckers', 'dobbs', 'hen', 'fox', 'henhouse']","[""and on tucker carlson's show"", 'tucker is still going after them', 'is that you tucker']"
140,816,139_golf_king_golfing_buttigieg,"['golf', 'king', 'golfing', 'buttigieg', 'manson', 'golfer', 'pga', 'courses', 'cart', 'golfers']","['meanwhile back at the golf course', 'often on the golf course', 'and golf for a few more']"
141,816,140_colbert_stewart_brooks_jon,"['colbert', 'stewart', 'brooks', 'jon', 'stephen', 'colberts', 'stewarts', 'ads', 'ad', 'bbc']","['love colbert', 'colbert would love to have that', ""jon stewart and stephen colbert are like so low rated and that's why you mentioned them once again when was the last time you spent the whole day without thinking about stewart or colbert""]"
142,807,141_spam_sock_puppet_spammer,"['spam', 'sock', 'puppet', 'spammer', 'spamming', 'sockpuppet', 'puppets', 'flagged', 'socks', 'comment']","['spam spam spam', 'and you are spam', 'spam spam spam']"
143,795,142_maga_trump_magas_america,"['maga', 'trump', 'magas', 'america', 'family', 'trumps', 'rally', 'great', 'mr', 'love']","['we have maga s', 'maga not', 'we are r e d e n e r g i z e d maga']"
144,785,143_point_amen_agree_excellent,"['point', 'amen', 'agree', 'excellent', 'good', 'sir', 'neversurrender', 'dat', 'ha', 'bfl']","['good point', 'good point', 'good point']"
145,783,144_boomers_boomer_job_work,"['boomers', 'boomer', 'job', 'work', 'generation', 'baby', 'jobs', 'millennials', 'tech', 'working']","[""nothing's worse than the boomers"", 'they were all baby boomers', 'all of us baby boomers']"
146,779,145_golf_golfing_trump_obama,"['golf', 'golfing', 'trump', 'obama', 'playing', 'course', 'courses', 'play', 'president', 'golfs']","['trump said he would never have time to play golf as president he would be too busy trump plays golf almost times as much as obama did', 'no obama was out playing golf', 'and then obama is off for golf all paid for by you and me']"
147,778,146_pardon_pardons_pardoned_schiff,"['pardon', 'pardons', 'pardoned', 'schiff', 'pardoning', 'convicted', 'trump', 'president', 'whistleblower', 'presidential']","['a pardon', 'will trump pardon him', 'trump will pardon him']"
148,776,147_dc_furious_fast_culture,"['dc', 'furious', 'fast', 'culture', 'holder', 'south', 'southerners', 'washington', 'reparations', 'southern']","['good one less corrupt democrat in dc', 'fast and furious', 'fast furious']"
149,766,148_deflection_bs_caps_font,"['deflection', 'bs', 'caps', 'font', 'deflect', 'mso', 'homework', 'proof', 'deflecting', 'bold']","['deflection really', 'good deflection', 'nothing but deflection']"
150,756,149_kavanaugh_kavanaughs_brett_judge,"['kavanaugh', 'kavanaughs', 'brett', 'judge', 'confirmed', 'stone', 'court', 'confirmation', 'hearings', 'supreme']","['how did kavanaugh vote', 'kavanaugh will still be there', 'and what is kavanaugh']"
151,755,150_dean_turtle_turtles_spartacus,"['dean', 'turtle', 'turtles', 'spartacus', 'gruber', 'sparta', 'deans', 'howard', 'barbour', 'grubers']","['good one dean', 'good one dean', 'of many by dean']"
152,749,151_walt_zombie_zombies_jesse,"['walt', 'zombie', 'zombies', 'jesse', 'tv', 'hank', 'walts', 'ricin', 'watch', 'skyler']","[""that's what make it so convincing walt is tearing up admitting to being weak but also making it seem like hank took advantage of him hank calls walt mr rogers because that's how walt comes across nobody would believe jesse over walt they need more they need better"", ""episode left my ending is walt will die in a massive bloody shoot out with todd's uncle and his guys jesse will survive and as walt lies dying jesse and todd will be the only ones left in the fight jesse will blow todd away with walt's machine gun revenge for andrea the audience would want this then turn to walt he will point the gun inches from his face head walt will plead with jesse to give the money to his family jesse will cry and be filled with rage and press the gun against walt's head then walt will say do it as in kill me it will fade to black and we will decide if he left walt to die on his own or if he blew his face off i left out the small details because i have enough writing of my own to do tah dah"", ""too early for walt and jesse to die and they need to settle their differences alone gomez dies easy call no witnesses to the following hank dies his character has no ongoing value to the plot he caught walt he said goodbye to marie he's a third wheel now but how does he die keep reading lydia is the ever underestimated criminal genius she knows that todd has a crush on her she knows that only walt and jesse can cook the meth properly the nazis have to die they have no more value to the plot so what happens notice that only todd was wearing body armor no coincidence notice also that todd is standing behind the other shooters todd murders his uncle and the other shooters he wants to please lydia by giving her what she wants walt and jesse when the shooting stops gomez is dead todd approaches walt and jesse and hank he murders hank who is an avoidable complication in his choirboy psycho way he tells walt and jesse that they cook for him or they die now they agree to cook jesse still can't shake walt but walt demands that he get the cash which he eventually provides to skylar walt and jesse cook but somehow they figure out together again how to kill todd lydia dies from the ricin jesse returns to walt's now empty house skylar and the kids have scrammed he vandalizes it walt escapes to new hampshire his full head of hair confirms that he has forsaken the chemo treatment he's ready to die and he does from the cancer maybe on his way out walt takes the fall to save jesse curtain closes no doubt this is wrong but parts are plausible""]"
153,746,152_debates_debate_benghazi_clinton,"['debates', 'debate', 'benghazi', 'clinton', 'hillary', 'candidates', 'hrc', 'clintons', 'cohn', 'dnc']","['if only there were more debates that were actually debates', 'more debates', 'if only there were more debates']"
154,744,153_dims_stoneyjack_zinn_grubby,"['dims', 'stoneyjack', 'zinn', 'grubby', 'dimwit', 'wong', 'dim', 'ching', 'ting', 'grubbie']","[""at least the dims can claim he's good at something then"", 'dims are done in', 'they like you are dims']"
155,734,154_nobel_prize_peace_gulag,"['nobel', 'prize', 'peace', 'gulag', 'bolshevik', 'gulags', 'bolsheviks', 'prizes', 'award', 'awarded']","['nobel prize next', 'he really should get the nobel peace prize', 'not as bad as a nobel peace prize before you did anything']"
156,726,155_hypocrisy_hypocrite_hypocrites_scumbag,"['hypocrisy', 'hypocrite', 'hypocrites', 'scumbag', 'hypocritical', 'restraining', 'waiver', 'nassar', 'rape', 'sexual']","['the hypocrisy', ""no hypocrisy no hypocrisy you're the hypocrite"", ""so it's hypocrisy""]"
157,724,156_straw_strawman_straws_man,"['straw', 'strawman', 'straws', 'man', 'argument', 'herring', 'strawmen', 'grasping', 'red', 'arguments']","['straw man', 'straw man much', 'straw man']"
158,716,157_dnc_hearings_stein_thomas,"['dnc', 'hearings', 'stein', 'thomas', 'treason', 'impeached', 'impeachment', 'trump', 'committee', 'senate']","['either way still the dnc', 'not to the dnc', 'dnc there you go']"
159,714,158_schumer_chuck_schumers_dementia,"['schumer', 'chuck', 'schumers', 'dementia', 'biden', 'tara', 'joe', 'reade', 'senate', 'chuckie']","['well schumer of course', 'schumer too please', 'because schumer is not']"
160,709,159_kamala_harris_kamalas_bannon,"['kamala', 'harris', 'kamalas', 'bannon', 'kamaltoe', 'dsouza', 'shes', 'bail', 'kamal', 'willie']","['so does kamala', 'and kamala', 'kamala who']"
161,707,160_harry_hollyweird_lee_eric,"['harry', 'hollyweird', 'lee', 'eric', 'beaver', 'spike', 'looney', 'dirty', 'cassandra', 'hollywierd']","[""the people to dirty harry get out of our life's"", ""i'm with harry on this one"", 'dirty harry no filthy lying harry']"
162,692,161_hear_said_welly_thee,"['hear', 'said', 'welly', 'thee', 'phrased', 'gibbered', 'cerridwyn', 'attiia', 'revell', 'pojamaperson']","['hear hear', 'hear hear', 'hear hear well said']"
163,666,162_omar_ilhan_omarosa_omars,"['omar', 'ilhan', 'omarosa', 'omars', 'tlaib', 'brother', 'somalia', 'aoc', 'anti', 'rep']","['so nothing was said by omar', 'omar next please', 'omar should be next']"
164,647,163_snark_sarc_snarky_irony,"['snark', 'sarc', 'snarky', 'irony', 'tag', 'oh', 'comment', 'snarking', 'detector', 'forgot']","[""it's not snark is the thing"", 'president snark', 'snark right please be snark lol']"
165,635,164_farmers_farm_farms_subsidies,"['farmers', 'farm', 'farms', 'subsidies', 'trees', 'farmer', 'agriculture', 'crop', 'air', 'forests']","['you never heard of subsidies you know like farmers get', 'including subsidies to farmers', 'do any real farmers still believe trump has their back']"
166,632,165_jones_mother_mj_article,"['jones', 'mother', 'mj', 'article', 'magazine', 'news', 'journalism', 'articles', 'site', 'story']","['have you seen mother jones', 'mother jones is news in the us', 'no mother jones did that']"
167,629,166_amazon_usps_postal_bezos,"['amazon', 'usps', 'postal', 'bezos', 'post', 'service', 'office', 'mail', 'amazons', 'prime']","['money watch on cbs investigated the amazon delivery claim and found it to be false i have been watching the attacks on amazon and all the false claims about amazon a family member is employed by amazon which has brought jobs to our community that offer so much more than the retail restaurant economy previously offered he is very happy with his employer and people that i work with are also excited that their family members have extremely affordable benefits with amazon i am looking for the agenda behind the attacks on amazon besides pure envy perhaps that bezos has secured a source for the people to receive real news in his purchase of the washington post', 'wrong amazon sorry', 'well you can try can you not or do you like amazon that much']"
168,615,167_daca_immigration_amnesty_illegal,"['daca', 'immigration', 'amnesty', 'illegal', 'canada', 'recipients', 'congress', 'trump', 'wall', 'eo']","['look like daca kids to me', 'like daca', 'no daca']"
169,610,168_pension_pensions_retirement_card,"['pension', 'pensions', 'retirement', 'card', 'plans', 'credit', 'debit', 'defined', 'subsidies', 'benefits']","['and lose any pension', 'pension really', ""pension funds were the target the name of the game is to destroy all pensions k's for everyone""]"
170,606,169_affirmative_action_black_blacks,"['affirmative', 'action', 'black', 'blacks', 'white', 'whites', 'hire', 'racial', 'race', 'hiring']","[""no that's affirmative action"", 'affirmative action', 'this must be what affirmative action is all about']"
171,596,170_globalists_globalist_globalism_world,"['globalists', 'globalist', 'globalism', 'world', 'war', 'global', 'nationalism', 'vietnam', 'order', 'military']","['latter day globalist', 'what is a globalist', 'are you a globalist']"
172,588,171_greece_greek_greeks_euro,"['greece', 'greek', 'greeks', 'euro', 'germany', 'debt', 'eu', 'greeces', 'austerity', 'eurozone']","[""when do you hear about what's going on in greece"", 'must have been a different greece so', 'and the e u had nothing to do with greece']"
173,587,172_japan_japanese_philippines_greenland,"['japan', 'japanese', 'philippines', 'greenland', 'culture', 'filipino', 'suicide', 'banks', 'asian', 'swiss']","['where is japan', 'you go japan', 'well done japan']"
174,575,173_kasich_ohio_kasichs_john,"['kasich', 'ohio', 'kasichs', 'john', 'cruz', 'republican', 'candidate', 'gop', 'trump', 'hes']","['by his own math kasich gets a d kasich has only won one state his own', 'kasich is a democrat', 'go home kasich']"
175,571,174_rush_rushs_rushbo_cruz,"['rush', 'rushs', 'rushbo', 'cruz', 'listen', 'conservative', 'hes', 'said', 'listeners', 'radio']","['why the rush', 'what would rush do', 'rush is all over this now']"
176,567,175_bird_birds_pigeons_crows,"['bird', 'birds', 'pigeons', 'crows', 'tree', 'apple', 'hummingbird', 'cats', 'pigeon', 'fall']","[""sometimes a bird is just a bird but you're correct that we can no longer be absolutely sure of that once simple fact"", 'i guess this bird you can not change', 'birds a couple of domestic house cats in a rural area will kill that many native bird species in a year and stories are not written about that really birds']"
177,553,176_jared_oz_kushner_fetterman,"['jared', 'oz', 'kushner', 'fetterman', 'seth', 'gabbard', 'manning', 'klobuchar', 'jareds', 'greenwald']","[""it think he's hoping to destroy jared kushner"", 'i think jared is up to something', 'how about jared']"
178,549,177_lead_paint_poisoning_crime,"['lead', 'paint', 'poisoning', 'crime', 'exposure', 'asbestos', 'levels', 'leaded', 'gasoline', 'hypothesis']","['lead free gasoline lead free paint', 'lead is better', 'so then lead has little to do with it']"
179,524,178_security_social_ss_atm,"['security', 'social', 'ss', 'atm', 'benefits', 'retirement', 'card', 'blank', 'income', 'ssa']","[""let's give it a name we can understand social security card"", 'in the current social security law once the so called trust fund runs out of money which will happen in then by law social security benefits will automatically be cut to the level where social security revenue can paid it out also new workers entering the job market will be the first generation to pay more into social security then they will get out the social security', 'what about people on social security']"
180,523,179_nato_sanctions_russia_eu,"['nato', 'sanctions', 'russia', 'eu', 'europe', 'natos', 'countries', 'european', 'defense', 'alliance']","['so now obama is nato', 'where s nato', 'get them out of nato']"
181,521,180_electric_cars_grid_ev,"['electric', 'cars', 'grid', 'ev', 'battery', 'evs', 'gas', 'electricity', 'vehicles', 'car']","['electric cars are ridiculous', 'buy more electric cars', ""you can do some of this if you move vehicles to electric then you have a grid and battery problem which is something that's being worked on""]"
182,520,181_nd_amendment_diversity_white,"['nd', 'amendment', 'diversity', 'white', 'culture', 'blacks', 'rights', 'whites', 'ethnicity', 'constitution']","['it might take the nd amendment to do it', 'nd amendment', 'but not part of the nd amendment']"
183,512,182_thank_thankee_kindly_af,"['thank', 'thankee', 'kindly', 'af', 'ye', 'thanks', 'dear', 'right', '', '']","['thank you', 'thank you', 'thank you']"
184,505,183_germans_german_germany_chamberlain,"['germans', 'german', 'germany', 'chamberlain', 'churchill', 'neville', 'ww', 'afd', 'british', 'war']","['better than the germans', 'where did i say anything about the germans', 'germans do that']"
185,504,184_perry_rick_texas_perrys,"['perry', 'rick', 'texas', 'perrys', 'governor', 'gov', 'indictment', 'mason', 'energy', 'travis']","['is that you rick perry', 'rick perry made him do it', 'i support perry on this']"
186,489,185_dementia_alzheimers_joe_alzheimer,"['dementia', 'alzheimers', 'joe', 'alzheimer', 'patient', 'onset', 'disease', 'memory', 'patients', 'early']","['he is an idiot and always has been dementia or not', 'with dementia', 'so is dementia']"
187,489,186_musk_elon_tesla_musks,"['musk', 'elon', 'tesla', 'musks', 'twitter', 'spacex', 'electric', 'company', 'cars', 'car']","['no musk put them on hold', 'elon musk wrote that he supported the left half of the republican party and the right half of the democratic party okay that makes no sense musk is all about musk always has been', 'what has musk done or said to make you believe that']"
188,479,187_bolton_john_boltons_neocon,"['bolton', 'john', 'boltons', 'neocon', 'war', 'book', 'iran', 'mustache', 'pompeo', 'trump']","['call bolton', 'not bolton', 'bolton is a no no']"
189,476,188_sugar_fructose_coke_soda,"['sugar', 'fructose', 'coke', 'soda', 'syrup', 'glucose', 'pepsi', 'drink', 'acid', 'diet']","[""i'll vote for you but only as long as your definition of sugar includes high fructose corn syrup which is far more of a health problem than plain old sucrose"", ""yes i understand the vague and evocative word 'natural' is largely meaningless providing a halo effect for foods people approve the author never said that honey had a higher percentage of fructose than hfcs the author's use of the word 'higher' is ambiguous but whether interpreted as a fructose glucose ratio a fructose percentage or a fructose amount table sugar honey and hfcs are all more similar than different if you look at just the free fructose and glucose hfcs has a fructose glucose ratio of and a typical honey also has a fructose glucose ratio of g of hfcs has g of free fructose and g of typical honey has g of free fructose however looking at just the ratios or amounts of free fructose and glucose is misleading you have to account for all the fructose and glucose otherwise you couldn't compare hfcs and sucrose table sugar at all so looking at the total fructose and glucose hfcs still has a fructose glucose ratio of but a typical honey has a fructose glucose ratio of about g of hfcs has g of total fructose and g of total glucose whereas g of a typical honey has g of total fructose and g of total glucose this is ignoring the g of 'higher sugars' in g of a typical honey i don't have a source for the composition of these higher sugars but it wouldn't effect the calculation much no matter how you parse it the author's assertion that honey is higher in fructose than the high fructose corn syrup is simply false and your assertion that honey has way more sugar thus more fructose than hcfs is simply absurd"", 'there will be coke and it will have real sugar']"
190,470,189_inflation_gold_dow_deflation,"['inflation', 'gold', 'dow', 'deflation', 'supply', 'currency', 'fiat', 'prices', 'standard', 'money']","['my inflation seems a lot more like inflation', 'like inflation', 'so inflation or no inflation']"
191,466,190_tariffs_trade_steel_tariff,"['tariffs', 'trade', 'steel', 'tariff', 'aluminum', 'imports', 'goods', 'manufacturing', 'jobs', 'products']","['tariffs anyone', 'tariffs d u m b a s s tariffs', 'i did not say anything about free trade this is about tariffs and fair trade']"
192,458,191_zuckerberg_mark_zucker_zuckerbergs,"['zuckerberg', 'mark', 'zucker', 'zuckerbergs', 'zuckerburg', 'dorsey', 'zuck', 'zuckerturd', 'zuckerbucks', 'facebook']","['zuckerberg too much money', 'f zuckerberg', 'and zuckerberg']"
193,457,192_bloomberg_bloombergs_quayle_mayor,"['bloomberg', 'bloombergs', 'quayle', 'mayor', 'dan', 'nyc', 'nanny', 'frisk', 'michael', 'mike']","[""he's paying good money for it so he's probably serious i like bloomberg i'm not voting for bloomberg no one is voting for bloomberg nice guy though"", 'bloomberg would be a president that we could all look down to', 'bloomberg lol']"
194,455,193_nafta_trade_steel_china,"['nafta', 'trade', 'steel', 'china', 'tpp', 'chinese', 'signed', 'tariffs', 'clinton', 'jobs']","['what was the big change to nafta trump did', 'ever here of nafta', 'nafta again']"
195,444,194_deep_state_kagan_trump,"['deep', 'state', 'kagan', 'trump', 'roberts', 'russian', 'justice', 'chump', 'impeached', 'staters']","['deep state is behind this', 'deep state again', 'or a deep state']"
196,443,195_kool_aid_koolaid_drinking,"['kool', 'aid', 'koolaid', 'drinking', 'drink', 'drank', 'aide', 'drunk', 'drinkers', 'drinker']","['keep drinking the kool aid', 'more kool aid anyone', 'no more kool aid']"
197,443,196_planet_earth_flat_planets,"['planet', 'earth', 'flat', 'planets', 'pluto', 'sun', 'moon', 'star', 'earthers', 'life']","['the earth is a living planet', 'and you have come here to earth from what planet', ""right well i have to i have to go now because i'm due back on the planet earth""]"
198,432,197_monopoly_monopolies_antitrust_demand,"['monopoly', 'monopolies', 'antitrust', 'demand', 'retirement', 'market', 'prices', 'workers', 'supply', 'union']","['me too and always use monopoly money', 'monopoly money', 'there is not a monopoly']"
199,425,198_cohen_cohens_michael_kamala,"['cohen', 'cohens', 'michael', 'kamala', 'trump', 'lawyer', 'client', 'trumps', 'attorney', 'liar']","['maybe cohen was that guy we change over the years', 'and cohen', 'all but cohen']"
200,424,199_agree_sense_explain_makes,"['agree', 'sense', 'explain', 'makes', 'completely', 'agreed', 'bad', 'spot', 'sadly', 'perfect']","['have to agree', 'i agree with you', 'this i agree with']"
201,413,200_karma_drama_queen_norcal,"['karma', 'drama', 'queen', 'norcal', 'karmas', 'hilbert', 'bitch', 'queens', 'tch', 'instant']","['karma police', 'karma baby karma', 'karma is a liberal']"
202,409,201_nailed_beat_cares_damn,"['nailed', 'beat', 'cares', 'damn', 'straight', 'dang', 'timeout', 'beats', 'lol', 'permanent']","['you nailed it', 'you nailed it', 'you nailed it']"
203,407,202_foil_tinfoil_tin_hat,"['foil', 'tinfoil', 'tin', 'hat', 'hats', 'tight', 'aluminum', 'adjust', 'deniability', 'plausible']","['time to change the tin foil in your hat', 'tin foil hat time', 'tin foil hat']"
204,403,203_djt_djts_dj_president,"['djt', 'djts', 'dj', 'president', 'potus', 'office', 'hrc', 'real', 'hes', 'dems']","['djt when a is b is etc', 'you or djt', ""we only have one it's djt and a few around him""]"
205,401,204_beck_glenn_becks_lemon,"['beck', 'glenn', 'becks', 'lemon', 'glen', 'beckel', 'cnn', 'hes', 'radio', 'don']","['glenn beck', 'is that you glenn beck', 'glenn beck']"
206,400,205_iowa_rasmussen_silver_iowans,"['iowa', 'rasmussen', 'silver', 'iowans', 'poll', 'kentucky', 'senate', 'moines', 'des', 'polls']","['trumps going to iowa', 'now they are blaming white iowa this is what you get iowa', 'iowa republicans do your thing get out and vote']"
207,399,206_jon_cersei_arya_sansa,"['jon', 'cersei', 'arya', 'sansa', 'tyrion', 'ramsay', 'jaime', 'bran', 'lannister', 'dany']","[""when ned told sansa and arya he was taking them back to winterfell sansa went to cersei and told her about it it was what prompted cersei to take action against ned ned told cersei he knew her children were jamie's and not robert's that's why she took action"", ""the women are taking over dany yarra and sansa arya is returning to winterfell and i'm looking forward to sansa arya and jon finding each other arya and jon loved each other dearly and he gave her needle cersei will rise again somewhere maybe at riverrun i hope she finds out that margery's grandmother killed joffrey though margery is plotting and scheming at king's landing the snake ladies are slithering around too women are going to take over westeros go girlfriends go"", ""i would have enjoyed a scene between bronn and tyrion but i'm hoping that we'll still get one dany and jon interaction has been to serve the plot i'd like to see more chit chat too but i'll wait till the season ends to see if it's all been purely utilitarian littlefinger's goal is still what he said it was last season the iron throne with sansa as his wife his plan at this point is to divide sansa from everyone else especially arya and bran to get her to rely on him as she used to then he can attempt to get her to betray jon presumably i don't know""]"
208,397,207_netanyahu_bibi_israel_netanyahus,"['netanyahu', 'bibi', 'israel', 'netanyahus', 'israeli', 'obama', 'minister', 'israels', 'benjamin', 'iran']","['the netanyahu one for sure', 'and netanyahu', 'bibi netanyahu']"
209,396,208_franken_al_frankens_shady,"['franken', 'al', 'frankens', 'shady', 'frank', 'resign', 'franks', 'bannon', 'minnesota', 'senator']","['this article is about franken', ""that's why they did that with al franken right"", 'like al franken']"
210,394,209_cockroaches_cockroach_roaches_roach,"['cockroaches', 'cockroach', 'roaches', 'roach', 'cookie', 'termites', 'light', 'peach', 'lights', 'infestation']","[""they're like cockroaches"", 'along with the cockroaches', 'who are the cockroaches']"
211,388,210_banana_republic_idiocracy_republics,"['banana', 'republic', 'idiocracy', 'republics', 'bananas', 'movie', 'officially', 'rd', 'world', 'america']","['so many of you still do not get it we are a banana republic', 'banana republic', 'us of banana republic']"
212,381,211_kelly_conway_kellys_kellyanne,"['kelly', 'conway', 'kellys', 'kellyanne', 'general', 'trump', 'staff', 'conways', 'interview', 'porter']","['and kelly defended the lie kelly is as bad as trump', ""that's because it is now the kelly administration"", 'general kelly is that you']"
213,380,212_vlad_ivan_vlads_impaler,"['vlad', 'ivan', 'vlads', 'impaler', 'ivans', 'myrna', 'vlade', 'vlady', 'ha', 'nice']","['with vlad', 'for what vlad', 'you go vlad']"
214,376,213_jab_jabs_jabbed_jag,"['jab', 'jabs', 'jabbed', 'jag', 'death', 'unjabbed', 'booster', 'jags', 'poison', 'taking']","['well said this is just another jab at trump anyway', 'the jab is b s', 'only to be made if you take the jab']"
215,376,214_tillerson_rex_exxon_tillersons,"['tillerson', 'rex', 'exxon', 'tillersons', 'moron', 'secretary', 'trump', 'sanctions', 'state', 'department']","['according to trump and tillerson they are', 'tillerson has a word for you', 'tillerson is ill']"
216,371,215_chart_graph_charts_graphs,"['chart', 'graph', 'charts', 'graphs', 'axis', 'curve', 'flatten', 'axes', 'percentages', 'data']","['still chart', 'that chart is from', 'here is that chart']"
217,371,216_carter_jimmy_carters_kakistocracy,"['carter', 'jimmy', 'carters', 'kakistocracy', 'president', 'reagan', 'worst', 'presidency', 'peanuts', 'peanut']","['jimmy carter was the best president', 'see jimmy carter years for that', 'it s jimmy carter']"
218,364,217_bye_examples_example_upvote,"['bye', 'examples', 'example', 'upvote', 'double', 'subtlety', 'resemble', 'post', 'subtle', 'remark']","['bye then', 'bye bye', 'bye bye']"
219,362,218_assange_julian_assanges_wikileaks,"['assange', 'julian', 'assanges', 'wikileaks', 'embassy', 'ecuadorian', 'harris', 'ecuador', 'seth', 'vance']","['assange too', 'what about assange', 'nor is assange']"
220,348,219_gorka_cummings_yang_elijah,"['gorka', 'cummings', 'yang', 'elijah', 'sebastian', 'gorkas', 'yangs', 'andrew', 'nazi', 'rend']","['e e cummings really', 'gorka did with his words', 'and gorka']"
221,347,220_manchin_sinema_joe_virginia,"['manchin', 'sinema', 'joe', 'virginia', 'wv', 'manchins', 'democrat', 'west', 'coal', 'senator']","['manchin is really a republican', 'manchin says no', 'how is manchin still a d']"
222,346,221_thought_thinking_lol_exactly,"['thought', 'thinking', 'lol', 'exactly', 'thats', 'omg', 'perfect', 'haha', 'hahaha', 'lmao']","['exactly what i thought', 'that was my first thought lol', 'my thought exactly lol']"
223,345,222_meth_lab_needles_pipe,"['meth', 'lab', 'needles', 'pipe', 'needle', 'crystal', 'head', 'heads', 'vet', 'addict']","['or meth', 'meth much', 'what are you out of meth']"
224,342,223_ccp_guam_cc_tip,"['ccp', 'guam', 'cc', 'tip', 'capsize', 'hank', 'johnson', 'island', 'western', 'minor']","[""let's take down the ccp"", 'and the ccp', 'how many are ccp']"
225,331,224_asylum_seekers_refugees_rd,"['asylum', 'seekers', 'refugees', 'rd', 'refugee', 'seeking', 'caste', 'seeker', 'apply', 'country']","['but crime by people who get asylum is almost at', 'asylum is legal', 'how long have you been in that asylum']"
226,328,225_visa_visas_workers_immigrants,"['visa', 'visas', 'workers', 'immigrants', 'jobs', 'immigration', 'labor', 'wages', 'illegal', 'hire']","[""not spam start by enacting the trump change from a brain dead lottery for h b visas gamed and won by offshore outsourcing companies to an allocation on the basis of salary in just years such a system will clear up the h b backlog and go on to clear up the backlog of workers from india and china seeking green cards without adding any more h b visas or green card to the yearly quota and instead of bringing in trainees who do nothing but duplicate business processes and then send the entire department to india and this is a big part of what has caused the rust belt obamanomics we would instead be bringing in workers from various countries as highly paid genius is evenly spread in israel europe and asia instead of having a system that is more than of the time removing jobs from the united states to india we would have instead a system that is originating technology here and presumably giving ordinary americans a chance to be hired by such new companies further extend the opt tax break to all starting workers not just foreign students right now companies get a tax break to hire a foreign student worker that's insane and the completely stupid barack obama extended the opt visa from months to months that's what campaign bribes will get you and the result is that of american stem it graduates can't get a starting stem it job in the united states yet big tech which has never had an issue finding stem it workers doj vs facebook facebook admits finding x more qualified stem it workers than it can actually hire has never had an issue finding stem it workers big tech since see the perm fake job ads video on youtube has been actively excluding better qualified local stem it candidates in favor of indentured foreign workers which are tied to a company forever for indian nationals until the green card arrives and this has not only cost jobs it has cost facebook billion dollars incurred by the acquisition of whatsapp then a facebook rival whatsapp was founded by local experienced yahoo engineers jan koum and brian acton both of whom just before they founded whatsapp interviewed at facebook both had massive web experience in servers and security but were not hired if facebook had hired them they could have developed the features that made whatsapp a potential facebook killer at facebook for small engineering salaries zuckerberg had one lucky break the rest has all been a parade of complete stupidity right now zuckerberg is spending billion dollars on a head set that now one will wear for a virtual reality product that has never at dozens of other companies even come close to what facebook already has further facebook is heavily distracted by this vr boondoggle and doesn't see the next revolution is in automatic user generated entertainment facebook will lose that war and go on to be another defunct company in this case a failure caused by the delusions of its man child founder who wanted a pretty toy the entire green card process is a sham to exclude better qualified local stem it workers in favor of an enslaved class of stem it worker welcome to plantation bought and paid for by donations to democratic candidates some things never change"", ""they whine about lack of skilled workers so they can increase the number of h b visas for foreign tech workers because they'll work for so much less"", 'the o visa is used for genius level workers there is an unlimited number of o visas']"
227,325,226_baldwin_alec_baldwins_bigot,"['baldwin', 'alec', 'baldwins', 'bigot', 'snl', 'homophobic', 'alecs', 'gun', 'cinematographer', 'rust']","['alec baldwin is a clown', ""that's how alec baldwin do"", 'alec baldwin']"
